,HomeTeam,AwayTeam,WinningTeam
1033,10,8,8
1034,23,0,0
1035,6,3,6
1036,22,20,22
1037,4,5,5
1038,9,14,9
1039,7,11,11
1040,17,16,16
1041,8,12,12
1042,21,18,21
1043,29,23,23
1044,14,3,3
1045,7,0,0
1046,19,6,19
1047,20,1,1
1048,16,29,29
1049,22,21,21
1050,17,23,17
1051,11,8,11
1052,10,9,10
1053,5,12,12
1054,4,18,4
1055,0,20,0
1056,3,6,3
1057,1,19,1
1058,14,7,7
1059,12,17,12
1060,20,10,20
1061,0,5,0
1062,16,7,16
1063,1,8,1
1064,23,4,4
1065,3,6,6
1066,14,19,14
1067,22,12,12
1068,0,5,0
1069,20,10,10
1070,16,7,16
1071,1,8,8
1072,3,6,6
1073,14,19,14
1074,23,4,23
1075,22,12,22
1076,5,0,0
1077,10,20,10
1078,7,16,16
1079,8,1,1
1080,4,23,23
1081,6,3,6
1082,19,14,19
1083,12,22,22
1084,7,16,16
1085,8,1,8
1086,5,0,0
1087,10,20,10
1088,4,23,23
1089,19,14,19
1090,6,3,6
1091,12,22,22
1092,20,10,20
1093,1,8,1
1094,23,4,23
1095,14,19,14
1096,22,12,22
1097,0,16,16
1098,8,1,1
1099,10,20,20
1100,23,6,6
1101,19,14,19
1102,0,16,16
1103,20,10,20
1104,23,6,6
1105,14,19,14
1106,16,0,0
1107,1,20,1
1108,6,23,6
1109,22,14,14
1110,16,0,0
1111,1,20,20
1112,6,23,23
1113,22,14,22
1114,0,16,16
1115,20,1,1
1116,23,6,6
1117,14,22,22
1118,16,0,0
1119,20,1,1
1120,14,22,22
1121,1,20,20
1122,0,16,16
1123,22,14,22
1124,20,1,20
1125,16,6,6
1126,1,20,20
1127,16,6,6
1128,22,20,22
1129,6,16,16
1130,22,20,22
1131,20,22,20
1132,6,16,6
1133,20,22,22
1134,16,6,16
1135,22,20,22
1136,6,16,6
1137,22,6,22
1138,22,6,22
1139,6,22,6
1140,6,22,22
1141,22,6,6
1142,6,22,22
